player,rating,acs,kd,kast,adr,kpr,apr,fkpr,fdpr,hs_percent,cl_percent
NeonLEV,1.30,238.0,1.50,78%,155.4,0.87,0.30,0.16,0.08,25%,17%
LessKRÜ,1.26,238.3,1.44,73%,154.8,0.87,0.26,0.13,0.08,27%,8%
erdeLOUD,1.21,223.8,1.23,78%,146.7,0.81,0.34,0.10,0.10,25%,30%
BABYBAYG2,1.21,234.5,1.25,78%,147.7,0.82,0.30,0.13,0.07,20%,9%
trentG2,1.19,214.4,1.26,76%,141.1,0.76,0.31,0.06,0.05,33%,22%
saadhakKRÜ,1.17,221.3,1.18,71%,140.7,0.76,0.41,0.12,0.10,24%,17%
lukxoLOUD,1.16,229.1,1.19,68%,149.5,0.82,0.28,0.14,0.12,25%,22%
corteziaSEN,1.15,209.3,1.21,72%,139.0,0.76,0.20,0.12,0.09,29%,14%
aspasMIBR,1.14,221.1,1.16,72%,148.8,0.79,0.17,0.13,0.08,27%,5%
valynG2,1.14,207.5,1.17,78%,133.7,0.75,0.41,0.11,0.05,25%,16%
bang100T,1.13,195.3,1.15,76%,123.0,0.73,0.35,0.07,0.05,31%,29%
brawkNRG,1.13,205.5,1.13,76%,133.3,0.71,0.38,0.06,0.03,19%,16%
mwzeraKRÜ,1.13,204.4,1.14,78%,136.8,0.71,0.33,0.06,0.04,20%,17%
Cryocells100T,1.12,215.3,1.28,73%,140.2,0.81,0.22,0.11,0.10,23%,22%
zekkenMIBR,1.09,240.9,1.09,69%,147.3,0.83,0.23,0.15,0.14,20%,
RossyENVY,1.07,204.4,1.01,72%,135.5,0.72,0.32,0.04,0.07,28%,13%
VernoMIBR,1.06,186.2,1.04,75%,122.6,0.65,0.33,0.08,0.06,28%,17%
ReduxxSEN,1.06,218.3,1.06,71%,139.6,0.78,0.24,0.09,0.07,27%,7%
artzinFUR,1.05,206.6,1.11,72%,140.1,0.75,0.22,0.06,0.09,25%,16%
OXYC9,1.05,237.6,1.04,70%,149.4,0.83,0.19,0.16,0.21,24%,10%
SatoLEV,1.05,223.1,1.10,74%,140.9,0.78,0.30,0.12,0.09,37%,6%
DarkerLOUD,1.03,214.4,0.99,73%,140.9,0.74,0.32,0.08,0.07,26%,3%
dgzinEG,1.03,223.8,1.08,68%,143.6,0.83,0.11,0.18,0.20,36%,17%
leafG2,1.02,188.8,1.05,71%,124.6,0.68,0.29,0.08,0.13,22%,17%
NotexxdC9,1.02,196.0,1.00,80%,122.7,0.71,0.39,0.05,0.05,23%,40%
Asuna100T,1.02,200.5,1.01,75%,127.6,0.69,0.37,0.10,0.10,21%,19%
blowzLEV,1.01,180.5,1.08,75%,117.8,0.63,0.37,0.06,0.04,31%,16%
EthanNRG,1.00,196.9,0.94,73%,127.8,0.65,0.34,0.09,0.05,23%,11%
eeiuFUR,1.00,188.7,1.01,67%,124.1,0.68,0.25,0.09,0.04,27%,10%
nerveFUR,1.00,181.1,1.06,75%,122.6,0.65,0.29,0.04,0.07,28%,18%
v1cC9,0.99,170.3,0.91,74%,120.4,0.61,0.41,0.07,0.09,31%,22%
Demon1ENVY,0.99,197.3,1.04,67%,129.6,0.75,0.18,0.10,0.13,46%,32%
cauanzinLOUD,0.99,176.2,0.92,71%,119.7,0.62,0.30,0.06,0.05,20%,20%
PaincakesEG,0.98,183.0,0.86,69%,120.7,0.63,0.39,0.00,0.07,30%,8%
Timotino100T,0.98,220.4,0.97,70%,143.9,0.74,0.30,0.18,0.17,23%,17%
keikoNRG,0.97,200.7,1.02,67%,132.8,0.71,0.20,0.09,0.11,33%,6%
keznitENVY,0.97,222.9,1.03,69%,143.3,0.78,0.19,0.16,0.12,21%,42%
zeronaEG,0.96,218.3,0.94,72%,143.0,0.73,0.22,0.12,0.06,27%,
silentzzKRÜ,0.96,179.1,0.96,72%,119.7,0.62,0.24,0.08,0.06,26%,14%
spikeLEV,0.96,237.2,1.04,73%,149.7,0.82,0.25,0.20,0.16,24%,23%
alymFUR,0.96,227.0,1.04,68%,137.3,0.80,0.18,0.19,0.20,20%,29%
johnqtSEN,0.95,167.3,0.91,66%,110.1,0.58,0.30,0.02,0.06,24%,7%
