match_id,event,player_name,series_result,rds_played,rating,acs,kd,kast,adr,kpr,apr,fkpr,fdpr,hs%,cl%
596404,kickoff_2026,johnqt,0,42,1.44,229.0,1.61,0.83,159.1,0.88,0.21,0.02,0.07,0.35,0.17
596404,kickoff_2026,cortezia,0,42,0.8,184.5,0.81,0.67,132.3,0.6,0.24,0.12,0.05,0.36,0.14
596404,kickoff_2026,reduxx,0,42,0.58,128.5,0.44,0.6,84.2,0.36,0.21,0.14,0.17,0.35,0.0
596404,kickoff_2026,kyu,0,42,0.86,175.0,0.76,0.6,122.0,0.6,0.24,0.02,0.1,0.25,0.5
596404,kickoff_2026,n4rrate,0,42,0.78,182.5,0.88,0.6,122.3,0.69,0.1,0.07,0.24,0.3,0.0
596410,kickoff_2026,johnqt,1,45,1.48,255.0,2.09,0.91,159.4,1.02,0.22,0.07,0.0,0.34,0.13
596410,kickoff_2026,cortezia,1,45,0.83,137.5,0.71,0.67,107.8,0.44,0.24,0.07,0.16,0.33,0.33
596410,kickoff_2026,reduxx,1,45,1.21,235.5,1.36,0.73,153.4,0.84,0.24,0.24,0.09,0.39,0.0
596410,kickoff_2026,kyu,1,45,1.02,179.5,1.12,0.82,113.7,0.64,0.33,0.07,0.07,0.21,0.0
596410,kickoff_2026,n4rrate,1,45,0.77,170.5,0.73,0.73,120.6,0.53,0.27,0.09,0.11,0.23,0.0
596413,kickoff_2026,johnqt,0,54,1.51,273.5,1.63,0.78,176.0,0.96,0.33,0.07,0.04,0.28,0.5
596413,kickoff_2026,cortezia,0,54,0.89,206.5,0.97,0.74,141.9,0.65,0.22,0.07,0.04,0.23,0.13
596413,kickoff_2026,reduxx,0,54,0.96,208.5,1.02,0.67,143.9,0.8,0.28,0.2,0.2,0.34,0.0
596413,kickoff_2026,kyu,0,54,0.8,169.5,0.75,0.65,107.4,0.56,0.26,0.06,0.07,0.15,0.14
596413,kickoff_2026,n4rrate,0,54,0.6,147.5,0.53,0.7,101.4,0.44,0.37,0.11,0.13,0.15,0.0
596422,kickoff_2026,johnqt,0,49,0.71,107.5,0.5,0.67,73.7,0.33,0.41,0.0,0.0,0.23,0.11
596422,kickoff_2026,cortezia,0,49,0.85,174.0,0.86,0.61,120.4,0.65,0.1,0.04,0.08,0.38,0.0
596422,kickoff_2026,reduxx,0,49,1.0,183.5,1.1,0.69,122.4,0.67,0.12,0.12,0.2,0.26,0.0
596422,kickoff_2026,kyu,0,49,0.92,183.0,0.91,0.65,114.8,0.61,0.29,0.06,0.12,0.25,0.0
596422,kickoff_2026,n4rrate,0,49,1.08,248.0,1.08,0.71,154.8,0.84,0.14,0.27,0.1,0.23,0.0
645474,stage_1_2026,johnqt,0,43,1.1,229.5,1.13,0.65,153.2,0.84,0.19,0.02,0.07,0.33,0.0
645474,stage_1_2026,cortezia,0,43,0.78,147.0,0.71,0.58,101.2,0.51,0.19,0.05,0.07,0.31,0.25
645474,stage_1_2026,reduxx,0,43,1.07,210.0,0.91,0.63,135.1,0.72,0.3,0.07,0.09,0.3,0.14
645474,stage_1_2026,jonahp,0,43,0.57,123.0,0.48,0.6,86.3,0.37,0.37,0.05,0.14,0.24,0.0
645474,stage_1_2026,victor,0,43,0.7,192.0,0.76,0.56,121.0,0.65,0.12,0.23,0.21,0.11,0.0
645485,stage_1_2026,johnqt,1,59,0.95,157.0,0.89,0.76,104.2,0.53,0.39,0.03,0.08,0.19,0.0
645485,stage_1_2026,cortezia,1,59,1.36,254.0,1.54,0.81,158.7,0.92,0.2,0.19,0.1,0.23,0.25
645485,stage_1_2026,reduxx,1,59,1.15,233.0,1.29,0.81,146.1,0.83,0.36,0.07,0.02,0.26,0.13
645485,stage_1_2026,jonahp,1,59,0.97,191.5,0.93,0.71,131.9,0.64,0.29,0.03,0.08,0.21,0.13
645485,stage_1_2026,jerrwin,1,59,0.81,188.5,0.87,0.63,129.0,0.68,0.29,0.19,0.2,0.18,0.0
645490,stage_1_2026,johnqt,1,44,1.1,182.0,1.08,0.66,122.0,0.61,0.36,0.0,0.05,0.29,0.25
645490,stage_1_2026,cortezia,1,44,1.21,216.0,1.38,0.7,145.1,0.75,0.2,0.11,0.02,0.26,0.13
645490,stage_1_2026,reduxx,1,44,1.27,241.0,1.34,0.75,148.3,0.89,0.18,0.14,0.11,0.32,0.0
645490,stage_1_2026,jonahp,1,44,0.93,187.5,1.04,0.8,128.5,0.66,0.25,0.09,0.14,0.24,0.0
645490,stage_1_2026,jerrwin,1,44,0.89,202.0,0.97,0.66,123.7,0.73,0.16,0.18,0.16,0.08,0.0
645495,stage_1_2026,johnqt,0,57,0.82,157.7,0.83,0.63,103.9,0.58,0.18,0.04,0.07,0.22,0.0
