player,rating,acs,kd,kast,adr,kpr,apr,fk_fd_ratio,fkpr,fdpr,hs_percent,cl_percent
NeonLEV,1.25,226.6,1.45,0.77,147.1,0.83,0.27,1.41,0.13,0.09,0.25,0.15
brawkNRG,1.24,225.4,1.28,0.79,146.5,0.77,0.41,1.84,0.07,0.04,0.18,0.13
LessKRÜ,1.21,237.4,1.35,0.72,155.6,0.86,0.24,1.32,0.12,0.09,0.28,0.09
corteziaSEN,1.15,209.3,1.21,0.72,139.0,0.76,0.2,1.28,0.12,0.09,0.29,0.14
trentG2,1.15,202.1,1.12,0.77,137.2,0.7,0.34,1.06,0.06,0.05,0.31,0.18
erdeLOUD,1.13,212.6,1.1,0.73,139.1,0.76,0.31,0.88,0.09,0.1,0.26,0.24
saadhakKRÜ,1.11,211.2,1.11,0.71,135.2,0.74,0.38,1.03,0.11,0.11,0.24,0.14
mwzeraKRÜ,1.09,199.6,1.07,0.76,133.9,0.69,0.31,1.9,0.06,0.03,0.21,0.16
aspasMIBR,1.09,212.3,1.11,0.72,141.7,0.76,0.16,1.8,0.14,0.08,0.25,0.1
keikoNRG,1.09,218.3,1.12,0.72,143.6,0.76,0.26,1.12,0.12,0.11,0.3,0.21
bang100T,1.08,188.5,1.07,0.75,117.6,0.69,0.41,1.14,0.06,0.05,0.33,0.23
valynG2,1.08,198.9,1.11,0.74,126.6,0.72,0.37,0.98,0.08,0.08,0.26,0.2
RossyENVY,1.07,204.4,1.01,0.72,135.5,0.72,0.32,0.56,0.04,0.07,0.28,0.13
BABYBAYG2,1.07,212.4,1.08,0.76,139.1,0.74,0.28,1.4,0.1,0.07,0.22,0.08
Cryocells100T,1.07,203.2,1.16,0.71,132.5,0.75,0.23,1.08,0.09,0.08,0.22,0.13
artzinFUR,1.07,210.5,1.1,0.71,142.5,0.76,0.23,0.96,0.07,0.08,0.24,0.15
lukxoLOUD,1.07,214.3,1.07,0.67,141.7,0.77,0.27,1.14,0.14,0.12,0.25,0.2
ReduxxSEN,1.06,218.3,1.06,0.71,139.6,0.78,0.24,1.3,0.09,0.07,0.27,0.07
blowzLEV,1.06,181.0,1.09,0.78,125.1,0.62,0.36,1.59,0.05,0.03,0.31,0.17
SatoLEV,1.06,223.6,1.09,0.74,144.9,0.78,0.34,1.47,0.14,0.09,0.34,0.07
OXYC9,1.05,237.6,1.04,0.7,149.4,0.83,0.19,0.75,0.16,0.21,0.24,0.1
Asuna100T,1.03,207.9,1.01,0.74,135.1,0.71,0.34,0.88,0.11,0.13,0.2,0.15
dgzinEG,1.03,223.8,1.08,0.68,143.6,0.83,0.11,0.88,0.18,0.2,0.36,0.17
zekkenMIBR,1.02,227.5,1.05,0.68,139.0,0.79,0.2,1.1,0.17,0.15,0.2,0.1
VernoMIBR,1.02,178.5,0.98,0.72,120.0,0.63,0.33,0.91,0.06,0.07,0.28,0.12
NotexxdC9,1.02,196.0,1.0,0.8,122.7,0.71,0.39,1.0,0.05,0.05,0.23,0.4
leafG2,1.01,200.9,1.01,0.71,133.9,0.71,0.33,0.75,0.1,0.13,0.24,0.2
kiNggLEV,1.01,174.5,1.1,0.78,112.1,0.62,0.32,1.62,0.06,0.04,0.27,0.07
Timotino100T,1.01,224.9,1.02,0.68,145.3,0.77,0.25,1.05,0.19,0.18,0.23,0.2
EthanNRG,1.0,188.0,0.93,0.74,123.4,0.63,0.39,1.18,0.08,0.07,0.24,0.09
madaNRG,0.99,202.8,1.03,0.7,127.4,0.73,0.24,0.9,0.17,0.18,0.22,0.25
v1cC9,0.99,170.3,0.91,0.74,120.4,0.61,0.41,0.79,0.07,0.09,0.31,0.22
Demon1ENVY,0.99,197.3,1.04,0.67,129.6,0.75,0.18,0.83,0.1,0.13,0.46,0.32
PaincakesEG,0.98,183.0,0.86,0.69,120.7,0.63,0.39,0.0,0.0,0.07,0.3,0.08
DarkerLOUD,0.98,203.5,0.92,0.71,134.5,0.7,0.32,1.05,0.07,0.07,0.25,0.02
keznitENVY,0.97,222.9,1.03,0.69,143.3,0.78,0.19,1.32,0.16,0.12,0.21,0.42
cauanzinLOUD,0.96,170.6,0.88,0.69,117.0,0.59,0.3,1.11,0.06,0.06,0.2,0.17
zeronaEG,0.96,218.3,0.94,0.72,143.0,0.73,0.22,2.0,0.12,0.06,0.27,0.0
eeiuFUR,0.95,179.4,0.93,0.65,120.1,0.65,0.24,1.81,0.08,0.04,0.27,0.07
johnqtSEN,0.95,167.3,0.91,0.66,110.1,0.58,0.3,0.35,0.02,0.06,0.24,0.07
jawgemoG2,0.94,209.1,0.98,0.69,135.6,0.73,0.24,0.86,0.15,0.17,0.19,0.16
MazinoMIBR,0.94,186.5,0.9,0.7,121.7,0.63,0.46,0.69,0.07,0.1,0.22,0.11
pennyC9,0.94,193.3,1.0,0.68,124.8,0.67,0.24,1.0,0.09,0.09,0.19,0.0
spikeLEV,0.93,230.3,1.03,0.72,143.4,0.8,0.24,1.17,0.2,0.17,0.23,0.24
nerveFUR,0.92,169.5,0.89,0.71,115.3,0.59,0.3,0.5,0.04,0.07,0.28,0.12
vora100T,0.92,166.8,0.91,0.73,116.4,0.58,0.32,0.71,0.05,0.06,0.25,0.21
alymFUR,0.91,212.2,0.97,0.67,133.4,0.75,0.22,0.8,0.17,0.21,0.2,0.27
skubaNRG,0.9,168.6,0.92,0.72,111.6,0.61,0.24,0.95,0.08,0.09,0.23,0.09
JackkC9,0.9,166.4,0.83,0.73,117.4,0.58,0.34,0.43,0.03,0.07,0.29,0.1
P0PPINENVY,0.89,180.6,0.81,0.67,117.2,0.61,0.33,0.36,0.04,0.11,0.18,0.19
supamenEG,0.88,172.0,0.85,0.68,116.8,0.62,0.25,0.83,0.08,0.09,0.34,0.12
JonahPSEN,0.88,178.5,0.85,0.7,125.7,0.59,0.27,0.57,0.06,0.1,0.23,0.13
XeppaaC9,0.88,186.3,0.81,0.69,126.1,0.62,0.32,0.63,0.06,0.09,0.24,0.09
silentzzKRÜ,0.88,170.8,0.87,0.7,113.6,0.6,0.25,1.61,0.09,0.05,0.27,0.11
texMIBR,0.86,166.8,0.85,0.66,116.1,0.59,0.22,0.89,0.08,0.09,0.34,0.09
baoEG,0.86,180.7,0.79,0.68,121.3,0.6,0.28,0.85,0.08,0.1,0.31,0.07
OkeanosEG,0.85,175.3,0.77,0.64,120.7,0.6,0.25,0.58,0.06,0.1,0.36,0.11
koalanoobFUR,0.84,181.6,0.82,0.68,120.4,0.63,0.28,1.05,0.13,0.12,0.23,0.03
ZellsisC9,0.83,167.0,0.79,0.69,115.3,0.57,0.31,0.88,0.09,0.1,0.19,0.09
JerrwinSEN,0.82,196.0,0.88,0.65,124.0,0.68,0.17,0.98,0.18,0.19,0.17,0.0
VirtyyLOUD,0.81,182.3,0.79,0.67,118.0,0.61,0.16,0.87,0.14,0.17,0.2,0.04
Dantedeu5KRÜ,0.81,185.9,0.84,0.68,117.8,0.64,0.25,0.9,0.16,0.18,0.23,0.0
C0MEG,0.76,152.4,0.67,0.65,106.0,0.47,0.29,0.57,0.04,0.07,0.21,0.06
EggsterrENVY,0.72,174.4,0.71,0.66,107.5,0.57,0.27,1.12,0.13,0.11,0.3,0.0
VictorSEN,0.7,192.0,0.76,0.56,121.0,0.65,0.12,1.11,0.23,0.21,0.11,0.0
BatiLOUD,0.7,140.0,0.61,0.66,89.9,0.46,0.45,0.29,0.03,0.11,0.2,0.0
