team_name,wr,t_wr,ct_wr,p_wr
fur,54.78927203065134,57.8125,51.8796992481203,69.23076923076923
g2,56.07843137254902,57.57575757575758,54.47154471544715,50.0
nrg,54.54545454545454,55.487804878048784,53.5483870967742,62.5
100t,52.5,55.92417061611374,49.34497816593886,35.0
c9,50.57142857142857,50.967741935483865,50.256410256410255,40.625
mibr,47.527472527472526,53.63128491620112,41.62162162162162,33.33333333333333
envy,49.01315789473684,43.87096774193549,54.36241610738255,53.84615384615385
lev,46.320346320346324,43.96551724137931,48.69565217391305,72.72727272727273
eg,51.171875,46.28099173553719,55.55555555555556,59.09090909090909
kru,40.853658536585364,39.361702127659576,42.857142857142854,18.75
sen,46.8421052631579,46.0,47.77777777777778,62.5
loud,38.35616438356164,36.470588235294116,40.98360655737705,57.14285714285714
