team_name,wr,t_wr,ct_wr,p_wr
g2,52.94117647058824,54.385964912280706,53.56037151702786,51.78571428571429
lev,51.724137931034484,57.09090909090909,52.61194029850746,48.07692307692308
nrg,48.275862068965516,52.892561983471076,54.25101214574899,56.52173913043478
kru,42.857142857142854,49.693251533742334,50.58139534883721,59.375
100t,40.74074074074074,57.02127659574469,47.80487804878049,607.1428571428571
sen,40.0,44.927536231884055,52.20588235294118,54.166666666666664
fur,38.095238095238095,46.35416666666667,47.61904761904761,30.555555555555557
envy,33.33333333333333,52.293577981651374,45.90163934426229,645.8333333333333
mibr,33.33333333333333,51.24999999999999,46.012269938650306,46.666666666666664
loud,33.33333333333333,51.829268292682926,38.095238095238095,50.0
c9,26.666666666666668,44.274809160305345,39.34426229508197,33.33333333333333
eg,13.333333333333334,44.537815126050425,37.857142857142854,41.66666666666667
