team_name,maps_played,map_wins,win%,attack_r,attack_r_w,attack_r_w%,defense_r,defense_r_w,defense_r_w%,pistol_r,pistol_r_w,pistol_r_w%
kru,15,9,0.6,115,63,0.547826087,138,75,0.5434782609,24,15,0.625
100t,15,7,0.4666666667,146,86,0.5890410959,132,63,0.4772727273,26,15,0.5769230769
g2,15,7,0.4666666667,109,62,0.5688073394,133,74,0.5563909774,22,12,0.5454545455
lev,15,7,0.4666666667,132,82,0.6212121212,119,58,0.487394958,24,12,0.5
fur,15,7,0.4666666667,141,74,0.524822695,128,64,0.5,26,9,0.3461538462
sen,15,6,0.4,138,62,0.4492753623,136,71,0.5220588235,24,13,0.5416666667
nrg,15,6,0.4,138,74,0.5362318841,123,59,0.4796747967,24,12,0.5
mibr,15,6,0.4,109,55,0.504587156,110,54,0.4909090909,20,10,0.5
loud,15,6,0.4,146,79,0.5410958904,130,53,0.4076923077,26,13,0.5
envy,15,5,0.3333333333,109,57,0.5229357798,122,56,0.4590163934,24,15,0.625
c9,15,4,0.2666666667,131,58,0.4427480916,122,48,0.393442623,24,8,0.3333333333
eg,15,2,0.1333333333,119,53,0.4453781513,140,53,0.3785714286,24,10,0.4166666667
