match_id,event,year,map,player,agent,rating,acs,kills,deaths,assists,plus_minus_kd,kast,adr,hs_perc,first_kills,first_deaths,plus_minus_fkd,clutches
312768,masters_madrid_2024,2024,lotus,zellsis,killjoy,1.19,211,17,/ 12 /,4,5,73%,138,16%,2,2,0,1
312768,masters_madrid_2024,2024,lotus,tenz,omen,1.16,240,20,/ 17 /,16,3,73%,140,36%,2,1,1,0
312768,masters_madrid_2024,2024,lotus,sacy,fade,1.13,211,17,/ 16 /,10,1,82%,159,28%,0,2,-2,1
312768,masters_madrid_2024,2024,lotus,zekken,raze,1.12,264,20,/ 18 /,6,2,77%,155,18%,7,4,3,0
312768,masters_madrid_2024,2024,lotus,johnqt,viper,1.11,203,12,/ 13 /,11,-1,73%,147,18%,1,1,0,2
312768,masters_madrid_2024,2024,sunset,zekken,raze,1.18,276,17,/ 14 /,2,3,67%,185,20%,4,3,1,1
312768,masters_madrid_2024,2024,sunset,sacy,gekko,0.85,195,10,/ 16 /,7,-6,61%,118,24%,1,3,-2,0
312768,masters_madrid_2024,2024,sunset,johnqt,cypher,0.65,176,10,/ 17 /,4,-7,50%,130,23%,0,2,-2,0
312768,masters_madrid_2024,2024,sunset,tenz,omen,0.55,118,8,/ 16 /,4,-8,67%,78,19%,0,3,-3,0
312768,masters_madrid_2024,2024,sunset,zellsis,kayo,0.47,91,6,/ 16 /,8,-10,61%,54,14%,0,2,-2,0
312768,masters_madrid_2024,2024,bind,zekken,raze,1.42,329,27,/ 18 /,5,9,79%,214,28%,6,4,2,1
312768,masters_madrid_2024,2024,bind,zellsis,brimstone,1.34,251,21,/ 15 /,12,6,75%,163,22%,2,1,1,1
312768,masters_madrid_2024,2024,bind,tenz,gekko,1.13,225,21,/ 17 /,8,4,79%,141,19%,4,1,3,0
312768,masters_madrid_2024,2024,bind,johnqt,viper,0.94,127,10,/ 13 /,4,-3,71%,99,18%,1,2,-1,1
312768,masters_madrid_2024,2024,bind,sacy,skye,0.65,107,8,/ 16 /,10,-8,63%,69,31%,0,3,-3,0
312768,masters_madrid_2024,2024,split,zekken,raze,1.6,333,26,/ 12 /,3,14,81%,209,20%,6,3,3,0
312768,masters_madrid_2024,2024,split,tenz,omen,1.57,268,20,/ 9 /,15,11,90%,170,26%,1,1,0,0
312768,masters_madrid_2024,2024,split,johnqt,cypher,1.12,165,12,/ 9 /,5,3,90%,103,19%,2,0,2,0
312768,masters_madrid_2024,2024,split,sacy,skye,0.88,117,7,/ 9 /,17,-2,81%,63,21%,1,3,-2,0
312768,masters_madrid_2024,2024,split,zellsis,viper,0.87,170,13,/ 14 /,5,-1,71%,109,24%,1,3,-2,0
312768,masters_madrid_2024,2024,lotus,johnqt,viper,1.45,266,21,/ 12 /,9,9,92%,174,20%,4,1,3,0
312768,masters_madrid_2024,2024,lotus,tenz,omen,1.39,251,22,/ 12 /,13,10,79%,149,15%,4,3,1,0
312768,masters_madrid_2024,2024,lotus,zellsis,killjoy,0.92,194,16,/ 14 /,4,2,79%,125,15%,1,2,-1,1
312768,masters_madrid_2024,2024,lotus,sacy,skye,0.76,112,9,/ 14 /,15,-5,75%,86,19%,0,2,-2,0
312768,masters_madrid_2024,2024,lotus,zekken,raze,0.74,174,15,/ 18 /,4,-3,67%,109,19%,2,5,-3,0
312768,masters_madrid_2024,2024,split,zellsis,viper,1.7,294,19,/ 8 /,6,11,88%,186,24%,1,0,1,1
312768,masters_madrid_2024,2024,split,tenz,omen,1.42,217,15,/ 9 /,13,6,88%,136,29%,1,0,1,1
312768,masters_madrid_2024,2024,split,johnqt,cypher,1.22,230,15,/ 10 /,5,5,82%,128,31%,3,1,2,1
312768,masters_madrid_2024,2024,split,zekken,raze,1.03,246,13,/ 13 /,11,0,82%,160,15%,6,1,5,0
312768,masters_madrid_2024,2024,split,sacy,skye,0.88,178,10,/ 12 /,8,-2,88%,108,27%,4,0,4,1
312768,masters_madrid_2024,2024,icebox,johnqt,viper,1.26,231,21,/ 16 /,6,5,73%,160,20%,1,1,0,2
312768,masters_madrid_2024,2024,icebox,zekken,jett,0.97,223,20,/ 20 /,0,0,73%,135,22%,6,5,1,0
312768,masters_madrid_2024,2024,icebox,zellsis,killjoy,0.78,187,14,/ 20 /,6,-6,58%,128,13%,0,4,-4,0
312768,masters_madrid_2024,2024,icebox,tenz,kayo,0.7,168,14,/ 23 /,18,-9,65%,103,30%,0,3,-3,1
312768,masters_madrid_2024,2024,icebox,sacy,gekko,0.43,87,9,/ 20 /,1,-11,42%,61,19%,0,6,-6,0
312768,masters_madrid_2024,2024,sunset,johnqt,cypher,1.06,235,21,/ 19 /,4,2,77%,169,34%,4,1,3,4
