match_id,event,player_name,series_result,rds_played,rating,acs,k/d,kast,adr,kpr,apr,fkpr,fdpr,hs_percent,cl_percent
596404,amer_kickoff_2026,johnqt,0,42,1.44,229,1.61,83%,159.1,0.88,0.21,0.02,0.07,35%,17%
596404,amer_kickoff_2026,cortezia,0,42,0.8,184.5,0.81,67%,132.3,0.6,0.24,0.12,0.05,36%,14%
596404,amer_kickoff_2026,reduxx,0,42,0.58,128.5,0.44,60%,84.2,0.36,0.21,0.14,0.17,35%,
596404,amer_kickoff_2026,kyu,0,42,0.86,175,0.76,60%,122,0.6,0.24,0.02,0.1,25%,50%
596404,amer_kickoff_2026,n4rrate,0,42,0.78,182.5,0.88,60%,122.3,0.69,0.1,0.07,0.24,30%,
596410,amer_kickoff_2026,johnqt,1,45,1.48,255,2.09,91%,159.4,1.02,0.22,0.07,0,34%,13%
596410,amer_kickoff_2026,cortezia,1,45,0.83,137.5,0.71,67%,107.8,0.44,0.24,0.07,0.16,33%,33%
596410,amer_kickoff_2026,reduxx,1,45,1.21,235.5,1.36,73%,153.4,0.84,0.24,0.24,0.09,39%,
596410,amer_kickoff_2026,kyu,1,45,1.02,179.5,1.12,82%,113.7,0.64,0.33,0.07,0.07,21%,
596410,amer_kickoff_2026,n4rrate,1,45,0.77,170.5,0.73,73%,120.6,0.53,0.27,0.09,0.11,23%,
596413,amer_kickoff_2026,johnqt,0,54,1.51,273.5,1.63,78%,176,0.96,0.33,0.07,0.04,28%,50%
596413,amer_kickoff_2026,cortezia,0,54,0.89,206.5,0.97,74%,141.9,0.65,0.22,0.07,0.04,23%,13%
596413,amer_kickoff_2026,reduxx,0,54,0.96,208.5,1.02,67%,143.9,0.8,0.28,0.2,0.2,34%,
596413,amer_kickoff_2026,kyu,0,54,0.8,169.5,0.75,65%,107.4,0.56,0.26,0.06,0.07,15%,14%
596413,amer_kickoff_2026,n4rrate,0,54,0.6,147.5,0.53,70%,101.4,0.44,0.37,0.11,0.13,15%,
596422,amer_kickoff_2026,johnqt,0,49,0.71,107.5,0.5,67%,73.7,0.33,0.41,0,0,23%,11%
596422,amer_kickoff_2026,cortezia,0,49,0.85,174,0.86,61%,120.4,0.65,0.1,0.04,0.08,38%,
596422,amer_kickoff_2026,reduxx,0,49,1,183.5,1.1,69%,122.4,0.67,0.12,0.12,0.2,26%,
596422,amer_kickoff_2026,kyu,0,49,0.92,183,0.91,65%,114.8,0.61,0.29,0.06,0.12,25%,
596422,amer_kickoff_2026,n4rrate,0,49,1.08,248,1.08,71%,154.8,0.84,0.14,0.27,0.1,23%,
645474,amer_stage_1_2026,johnqt,0,43,1.1,229.5,1.13,65%,153.2,0.84,0.19,0.02,0.07,33%,
645474,amer_stage_1_2026,cortezia,0,43,0.78,147,0.71,58%,101.2,0.51,0.19,0.05,0.07,31%,25%
645474,amer_stage_1_2026,reduxx,0,43,1.07,210,0.91,63%,135.1,0.72,0.3,0.07,0.09,30%,14%
645474,amer_stage_1_2026,jonahp,0,43,0.57,123,0.48,60%,86.3,0.37,0.37,0.05,0.14,24%,
645474,amer_stage_1_2026,victor,0,43,0.7,192,0.76,56%,121,0.65,0.12,0.23,0.21,11%,
645485,amer_stage_1_2026,johnqt,1,59,0.95,157,0.89,76%,104.2,0.53,0.39,0.03,0.08,19%,
645485,amer_stage_1_2026,cortezia,1,59,1.36,254,1.54,81%,158.7,0.92,0.2,0.19,0.1,23%,25%
645485,amer_stage_1_2026,reduxx,1,59,1.15,233,1.29,81%,146.1,0.83,0.36,0.07,0.02,26%,13%
645485,amer_stage_1_2026,jonahp,1,59,0.97,191.5,0.93,71%,131.9,0.64,0.29,0.03,0.08,21%,13%
645485,amer_stage_1_2026,jerrwin,1,59,0.81,188.5,0.87,63%,129,0.68,0.29,0.19,0.2,18%,
645490,amer_stage_1_2026,johnqt,1,44,1.1,182,1.08,66%,122,0.61,0.36,0,0.05,29%,25%
645490,amer_stage_1_2026,cortezia,1,44,1.21,216,1.38,70%,145.1,0.75,0.2,0.11,0.02,26%,13%
645490,amer_stage_1_2026,reduxx,1,44,1.27,241,1.34,75%,148.3,0.89,0.18,0.14,0.11,32%,
645490,amer_stage_1_2026,jonahp,1,44,0.93,187.5,1.04,80%,128.5,0.66,0.25,0.09,0.14,24%,
645490,amer_stage_1_2026,jerrwin,1,44,0.89,202,0.97,66%,123.7,0.73,0.16,0.18,0.16,8%,
645495,amer_stage_1_2026,johnqt,0,57,0.82,157.7,0.83,63%,103.9,0.58,0.18,0.04,0.07,22%,
645495,amer_stage_1_2026,cortezia,0,57,1.15,196.7,1.11,74%,138.8,0.7,0.26,0.14,0.07,33%,10%
645495,amer_stage_1_2026,reduxx,0,57,0.73,173.3,0.72,68%,109.9,0.6,0.23,0.05,0.04,25%,
645495,amer_stage_1_2026,jonahp,0,57,0.96,212.7,0.95,72%,156.1,0.68,0.19,0.05,0.11,30%,
645495,amer_stage_1_2026,jerrwin,0,57,0.85,211.3,0.93,65%,131.2,0.72,0.11,0.23,0.21,16%,
645503,amer_stage_1_2026,johnqt,0,71,0.87,132.7,0.75,62%,86.6,0.46,0.37,0.01,0.04,21%,10%
645503,amer_stage_1_2026,cortezia,0,71,1.16,229.3,1.28,70%,142,0.83,0.17,0.08,0.15,39%,
645503,amer_stage_1_2026,reduxx,0,71,1.13,244,1.13,68%,155.6,0.85,0.14,0.14,0.11,25%,
645503,amer_stage_1_2026,jonahp,0,71,0.88,166.7,0.83,69%,118.5,0.56,0.25,0.07,0.07,19%,27%
645503,amer_stage_1_2026,jerrwin,0,71,0.77,181.7,0.8,65%,114.3,0.62,0.13,0.14,0.17,24%,
