match_id,event,t1,t2,map_name,map_num,t1_score,t2_score,t1_attack_w,t1_defense_w,t2_attack_w,t2_defense_w,t1_ot_w,t2_ot_w,t1_pistol_w,t1_eco_w,t1_semi_eco_w,t1_semi_buy_w,t1_full_buy_w,t2_pistol_w,t2_eco_w,t2_semi_eco_w,t2_semi_buy_w,t2_full_buy_w
596404,kickoff,sen,furia,split,1,5,13,3,2,9,4,,,1,1,0,1,3,1,1,1,1,10
596404,kickoff,sen,furia,breeze,2,11,13,6,5,7,6,,,2,2,0,4,5,0,0,1,1,11
596410,kickoff,eg,sen,abyss,1,8,13,5,3,9,4,,,1,1,0,1,6,1,1,1,1,10
596410,kickoff,eg,sen,pearl,2,11,13,4,7,5,8,,,2,2,1,3,5,0,0,0,1,12
596413,kickoff,100t,sen,corrode,1,13,11,5,8,4,7,,,1,1,1,3,8,1,1,0,2,8
596413,kickoff,100t,sen,split,2,16,14,8,4,8,4,4,2,0,1,1,0,14,2,2,0,1,11
596422,kickoff,sen,lev,corrode,1,10,13,5,5,6,7,,,1,2,0,2,6,1,1,1,0,11
596422,kickoff,sen,lev,bind,2,12,14,4,8,4,8,0,2,2,2,0,3,7,0,0,0,0,14
645474,stage_1,sen,kru,lotus,1,8,13,4,4,5,8,,,1,1,0,1,6,1,2,0,2,9
645474,stage_1,sen,kru,breeze,2,9,13,5,4,6,7,,,0,0,1,3,5,2,2,0,6,5
645485,stage_1,100t,sen,haven,1,10,13,5,5,7,6,,,1,1,0,2,7,1,1,1,4,7
645485,stage_1,100t,sen,split,2,17,19,4,8,4,8,5,7,1,1,1,2,13,1,1,1,4,13
645490,stage_1,eg,sen,haven,1,7,13,2,5,7,6,,,0,0,0,1,6,2,2,0,3,8
645490,stage_1,eg,sen,bind,2,11,13,5,6,7,6,,,2,2,1,4,4,0,1,2,3,7
645495,stage_1,furia,sen,split,1,13,4,8,5,0,4,,,2,2,0,4,7,0,0,0,0,4
645495,stage_1,furia,sen,breeze,2,7,13,5,2,10,3,,,0,0,0,4,3,2,2,0,2,9
645495,stage_1,furia,sen,haven,3,13,7,7,6,2,5,,,0,0,0,1,12,2,2,0,2,3
645503,stage_1,sen,nrg,fracture,1,11,13,8,3,9,4,,,2,2,0,4,5,0,1,0,0,12
645503,stage_1,sen,nrg,breeze,2,13,11,4,9,3,8,,,1,1,0,3,9,1,1,0,5,5
645503,stage_1,sen,nrg,lotus,3,10,13,3,7,5,8,,,1,1,0,3,6,1,1,0,5,7
